thoi_gian,dong_tien,don_hang,san_pham,khu_vuc,cua_hang,nhom_san_pham,revenue
513,36281,1471,2577,Bac,CH2,DienTu,123410
514,36418,1488,2606,Trung,CH3,ThucPham,110561
515,36555,1505,2635,Nam,CH1,GiaDung,118231
516,36692,1522,2664,Bac,CH2,DienTu,127135
517,36829,1539,2693,Trung,CH3,ThucPham,113865
518,36966,456,2722,Nam,CH1,GiaDung,64705
519,37103,473,2751,Bac,CH2,DienTu,70141
520,37240,490,2780,Trung,CH3,ThucPham,63313
521,37377,507,2809,Nam,CH1,GiaDung,68204
522,37514,524,2838,Bac,CH2,DienTu,73866
523,37651,541,2867,Trung,CH3,ThucPham,66618
524,37788,558,2896,Nam,CH1,GiaDung,71703
525,37925,575,2925,Bac,CH2,DienTu,77592
526,38062,592,2954,Trung,CH3,ThucPham,69922
527,38199,609,2983,Nam,CH1,GiaDung,75201
528,38336,626,3012,Bac,CH2,DienTu,81317
529,38473,643,3041,Trung,CH3,ThucPham,73226
530,38610,660,3070,Nam,CH1,GiaDung,78700
531,38747,677,3099,Bac,CH2,DienTu,85043
532,38884,694,928,Trung,CH3,ThucPham,61945
533,39021,711,957,Nam,CH1,GiaDung,66755
534,39158,728,986,Bac,CH2,DienTu,72323
535,39295,745,1015,Trung,CH3,ThucPham,65249
536,39432,762,1044,Nam,CH1,GiaDung,70254
537,39569,779,1073,Bac,CH2,DienTu,76049
538,39706,796,1102,Trung,CH3,ThucPham,68553
539,39843,813,1131,Nam,CH1,GiaDung,73752
540,39980,830,1160,Bac,CH2,DienTu,79774
541,40117,847,1189,Trung,CH3,ThucPham,71858
542,40254,864,1218,Nam,CH1,GiaDung,77251
543,40391,881,1247,Bac,CH2,DienTu,83500
544,40528,898,1276,Trung,CH3,ThucPham,75162
545,40665,915,1305,Nam,CH1,GiaDung,80750
546,40802,932,1334,Bac,CH2,DienTu,87225
547,40939,949,1363,Trung,CH3,ThucPham,78467
548,41076,966,1392,Nam,CH1,GiaDung,84248
549,41213,983,1421,Bac,CH2,DienTu,90951
550,41350,1000,1450,Trung,CH3,ThucPham,81771
551,41487,1017,1479,Nam,CH1,GiaDung,87747
552,41624,1034,1508,Bac,CH2,DienTu,94676
553,41761,1051,1537,Trung,CH3,ThucPham,85075
554,41898,1068,1566,Nam,CH1,GiaDung,91246
555,42035,1085,1595,Bac,CH2,DienTu,98402
556,42172,1102,1624,Trung,CH3,ThucPham,88380
557,42309,1119,1653,Nam,CH1,GiaDung,94745
558,42446,1136,1682,Bac,CH2,DienTu,102127
559,42583,1153,1711,Trung,CH3,ThucPham,91684
560,42720,1170,1740,Nam,CH1,GiaDung,98243
561,42857,1187,1769,Bac,CH2,DienTu,105853
562,42994,1204,1798,Trung,CH3,ThucPham,94988
563,43131,1221,1827,Nam,CH1,GiaDung,101742
564,43268,1238,1856,Bac,CH2,DienTu,109578
565,43405,1255,1885,Trung,CH3,ThucPham,98293
566,43542,1272,1914,Nam,CH1,GiaDung,105241
567,43679,1289,1943,Bac,CH2,DienTu,113304
568,43816,1306,1972,Trung,CH3,ThucPham,101597
569,43953,1323,2001,Nam,CH1,GiaDung,108739
570,44090,1340,2030,Bac,CH2,DienTu,117029
571,44227,1357,2059,Trung,CH3,ThucPham,104901
572,44364,1374,2088,Nam,CH1,GiaDung,112238
573,44501,1391,2117,Bac,CH2,DienTu,120755
574,44638,1408,2146,Trung,CH3,ThucPham,108206
575,44775,1425,2175,Nam,CH1,GiaDung,115737
576,44912,1442,2204,Bac,CH2,DienTu,124480
577,45049,1459,2233,Trung,CH3,ThucPham,111510
578,45186,1476,2262,Nam,CH1,GiaDung,119236
579,45323,1493,2291,Bac,CH2,DienTu,128206
580,45460,1510,2320,Trung,CH3,ThucPham,114814
581,45597,1527,2349,Nam,CH1,GiaDung,122734
582,45734,1544,2378,Bac,CH2,DienTu,131931
583,45871,461,2407,Trung,CH3,ThucPham,64263
584,46008,478,2436,Nam,CH1,GiaDung,69209
585,46145,495,2465,Bac,CH2,DienTu,74937
586,46282,512,2494,Trung,CH3,ThucPham,67567
587,46419,529,2523,Nam,CH1,GiaDung,72708
588,46556,546,2552,Bac,CH2,DienTu,78662
589,46693,563,2581,Trung,CH3,ThucPham,70871
590,46830,580,2610,Nam,CH1,GiaDung,76206
591,46967,597,2639,Bac,CH2,DienTu,82388
592,47104,614,2668,Trung,CH3,ThucPham,74176
593,47241,631,2697,Nam,CH1,GiaDung,79705
594,47378,648,2726,Bac,CH2,DienTu,86113
595,47515,665,2755,Trung,CH3,ThucPham,77480
596,47652,682,2784,Nam,CH1,GiaDung,83204
597,47789,699,2813,Bac,CH2,DienTu,89839
598,47926,716,2842,Trung,CH3,ThucPham,80784
599,48063,733,2871,Nam,CH1,GiaDung,86703
600,48200,750,2900,Bac,CH2,DienTu,93564
601,48337,767,2929,Trung,CH3,ThucPham,84089
602,48474,784,2958,Nam,CH1,GiaDung,90201
603,48611,801,2987,Bac,CH2,DienTu,97289
604,48748,818,3016,Trung,CH3,ThucPham,87393
605,48885,835,3045,Nam,CH1,GiaDung,93700
606,49022,852,3074,Bac,CH2,DienTu,101015
607,49159,869,903,Trung,CH3,ThucPham,76111
608,49296,886,932,Nam,CH1,GiaDung,81755
609,49433,903,961,Bac,CH2,DienTu,88295
610,49570,920,990,Trung,CH3,ThucPham,79416
611,49707,937,1019,Nam,CH1,GiaDung,85253
612,49844,954,1048,Bac,CH2,DienTu,92021
613,49981,971,1077,Trung,CH3,ThucPham,82720
614,50118,988,1106,Nam,CH1,GiaDung,88752
615,50255,1005,1135,Bac,CH2,DienTu,95746
616,50392,1022,1164,Trung,CH3,ThucPham,86024
617,50529,1039,1193,Nam,CH1,GiaDung,92251
618,50666,1056,1222,Bac,CH2,DienTu,99472
619,50803,1073,1251,Trung,CH3,ThucPham,89329
620,50940,1090,1280,Nam,CH1,GiaDung,95750
621,51077,1107,1309,Bac,CH2,DienTu,103197
622,51214,1124,1338,Trung,CH3,ThucPham,92633
623,51351,1141,1367,Nam,CH1,GiaDung,99248
624,51488,1158,1396,Bac,CH2,DienTu,106923
625,51625,1175,1425,Trung,CH3,ThucPham,95937
626,51762,1192,1454,Nam,CH1,GiaDung,102747
627,51899,1209,1483,Bac,CH2,DienTu,110648
628,52036,1226,1512,Trung,CH3,ThucPham,99242
629,52173,1243,1541,Nam,CH1,GiaDung,106246
630,52310,1260,1570,Bac,CH2,DienTu,114374
631,52447,1277,1599,Trung,CH3,ThucPham,102546
632,52584,1294,1628,Nam,CH1,GiaDung,109744
633,52721,1311,1657,Bac,CH2,DienTu,118099
634,52858,1328,1686,Trung,CH3,ThucPham,105850
635,52995,1345,1715,Nam,CH1,GiaDung,113243
636,53132,1362,1744,Bac,CH2,DienTu,121825
637,53269,1379,1773,Trung,CH3,ThucPham,109155
638,53406,1396,1802,Nam,CH1,GiaDung,116742
639,53543,1413,1831,Bac,CH2,DienTu,125550
640,53680,1430,1860,Trung,CH3,ThucPham,112459
641,53817,1447,1889,Nam,CH1,GiaDung,120241
642,53954,1464,1918,Bac,CH2,DienTu,129276
643,54091,1481,1947,Trung,CH3,ThucPham,115763
644,54228,1498,1976,Nam,CH1,GiaDung,123739
645,54365,1515,2005,Bac,CH2,DienTu,133001
646,54502,1532,2034,Trung,CH3,ThucPham,119068
647,54639,1549,2063,Nam,CH1,GiaDung,127238
648,54776,466,2092,Bac,CH2,DienTu,76007
649,54913,483,2121,Trung,CH3,ThucPham,68516
650,55050,500,2150,Nam,CH1,GiaDung,73713
651,55187,517,2179,Bac,CH2,DienTu,79732
652,55324,534,2208,Trung,CH3,ThucPham,71820
653,55461,551,2237,Nam,CH1,GiaDung,77211
654,55598,568,2266,Bac,CH2,DienTu,83458
655,55735,585,2295,Trung,CH3,ThucPham,75125
656,55872,602,2324,Nam,CH1,GiaDung,80710
657,56009,619,2353,Bac,CH2,DienTu,87183
658,56146,636,2382,Trung,CH3,ThucPham,78429
659,56283,653,2411,Nam,CH1,GiaDung,84209
660,56420,670,2440,Bac,CH2,DienTu,90909
661,56557,687,2469,Trung,CH3,ThucPham,81733
662,56694,704,2498,Nam,CH1,GiaDung,87708
663,56831,721,2527,Bac,CH2,DienTu,94634
664,56968,738,2556,Trung,CH3,ThucPham,85038
665,57105,755,2585,Nam,CH1,GiaDung,91206
666,57242,772,2614,Bac,CH2,DienTu,98360
667,57379,789,2643,Trung,CH3,ThucPham,88342
668,57516,806,2672,Nam,CH1,GiaDung,94705
669,57653,823,2701,Bac,CH2,DienTu,102085
670,57790,840,2730,Trung,CH3,ThucPham,91646
671,57927,857,2759,Nam,CH1,GiaDung,98204
672,58064,874,2788,Bac,CH2,DienTu,105811
673,58201,891,2817,Trung,CH3,ThucPham,94951
674,58338,908,2846,Nam,CH1,GiaDung,101702
675,58475,925,2875,Bac,CH2,DienTu,109536
676,58612,942,2904,Trung,CH3,ThucPham,98255
677,58749,959,2933,Nam,CH1,GiaDung,105201
678,58886,976,2962,Bac,CH2,DienTu,113262
679,59023,993,2991,Trung,CH3,ThucPham,101560
680,59160,1010,3020,Nam,CH1,GiaDung,108700
681,59297,1027,3049,Bac,CH2,DienTu,116987
682,59434,1044,3078,Trung,CH3,ThucPham,104864
683,59571,1061,907,Nam,CH1,GiaDung,96755
684,59708,1078,936,Bac,CH2,DienTu,104268
685,59845,1095,965,Trung,CH3,ThucPham,93582
686,59982,1112,994,Nam,CH1,GiaDung,100253
687,60119,1129,1023,Bac,CH2,DienTu,107993
688,60256,1146,1052,Trung,CH3,ThucPham,96887
689,60393,1163,1081,Nam,CH1,GiaDung,103752
690,60530,1180,1110,Bac,CH2,DienTu,111718
691,60667,1197,1139,Trung,CH3,ThucPham,100191
692,60804,1214,1168,Nam,CH1,GiaDung,107251
693,60941,1231,1197,Bac,CH2,DienTu,115444
694,61078,1248,1226,Trung,CH3,ThucPham,103495
695,61215,1265,1255,Nam,CH1,GiaDung,110749
696,61352,1282,1284,Bac,CH2,DienTu,119169
697,61489,1299,1313,Trung,CH3,ThucPham,106800
698,61626,1316,1342,Nam,CH1,GiaDung,114248
699,61763,1333,1371,Bac,CH2,DienTu,122895
700,61900,1350,1400,Trung,CH3,ThucPham,110104
701,62037,1367,1429,Nam,CH1,GiaDung,117747
702,62174,1384,1458,Bac,CH2,DienTu,126620
703,62311,1401,1487,Trung,CH3,ThucPham,113408
704,62448,1418,1516,Nam,CH1,GiaDung,121246
705,62585,1435,1545,Bac,CH2,DienTu,130346
706,62722,1452,1574,Trung,CH3,ThucPham,116713
707,62859,1469,1603,Nam,CH1,GiaDung,124744
708,62996,1486,1632,Bac,CH2,DienTu,134071
709,63133,1503,1661,Trung,CH3,ThucPham,120017
710,63270,1520,1690,Nam,CH1,GiaDung,128243
711,63407,1537,1719,Bac,CH2,DienTu,137797
712,63544,454,1748,Trung,CH3,ThucPham,69465
713,63681,471,1777,Nam,CH1,GiaDung,74718
714,63818,488,1806,Bac,CH2,DienTu,80802
715,63955,505,1835,Trung,CH3,ThucPham,72770
716,64092,522,1864,Nam,CH1,GiaDung,78216
717,64229,539,1893,Bac,CH2,DienTu,84528
718,64366,556,1922,Trung,CH3,ThucPham,76074
719,64503,573,1951,Nam,CH1,GiaDung,81715
720,64640,590,1980,Bac,CH2,DienTu,88253
721,64777,607,2009,Trung,CH3,ThucPham,79378
722,64914,624,2038,Nam,CH1,GiaDung,85214
723,65051,641,2067,Bac,CH2,DienTu,91979
724,65188,658,2096,Trung,CH3,ThucPham,82683
725,65325,675,2125,Nam,CH1,GiaDung,88713
726,65462,692,2154,Bac,CH2,DienTu,95704
727,65599,709,2183,Trung,CH3,ThucPham,85987
728,65736,726,2212,Nam,CH1,GiaDung,92211
729,65873,743,2241,Bac,CH2,DienTu,99430
730,16010,760,2270,Trung,CH3,ThucPham,61241
731,16147,777,2299,Nam,CH1,GiaDung,66010
732,16284,794,2328,Bac,CH2,DienTu,71530
733,16421,811,2357,Trung,CH3,ThucPham,64546
734,16558,828,2386,Nam,CH1,GiaDung,69509
735,16695,845,2415,Bac,CH2,DienTu,75256
736,16832,862,2444,Trung,CH3,ThucPham,67850
737,16969,879,2473,Nam,CH1,GiaDung,73007
738,17106,896,2502,Bac,CH2,DienTu,78981
739,17243,913,2531,Trung,CH3,ThucPham,71154
740,17380,930,2560,Nam,CH1,GiaDung,76506
741,17517,947,2589,Bac,CH2,DienTu,82707
742,17654,964,2618,Trung,CH3,ThucPham,74459
743,17791,981,2647,Nam,CH1,GiaDung,80005
744,17928,998,2676,Bac,CH2,DienTu,86432
745,18065,1015,2705,Trung,CH3,ThucPham,77763
746,18202,1032,2734,Nam,CH1,GiaDung,83504
747,18339,1049,2763,Bac,CH2,DienTu,90158
748,18476,1066,2792,Trung,CH3,ThucPham,81067
749,18613,1083,2821,Nam,CH1,GiaDung,87002
750,18750,1100,2850,Bac,CH2,DienTu,93883
751,18887,1117,2879,Trung,CH3,ThucPham,84372
752,19024,1134,2908,Nam,CH1,GiaDung,90501
753,19161,1151,2937,Bac,CH2,DienTu,97609
754,19298,1168,2966,Trung,CH3,ThucPham,87676
755,19435,1185,2995,Nam,CH1,GiaDung,94000
756,19572,1202,3024,Bac,CH2,DienTu,101334
757,19709,1219,3053,Trung,CH3,ThucPham,90980
758,19846,1236,3082,Nam,CH1,GiaDung,97498
759,19983,1253,911,Bac,CH2,DienTu,88615
760,20120,1270,940,Trung,CH3,ThucPham,79699
761,20257,1287,969,Nam,CH1,GiaDung,85553
762,20394,1304,998,Bac,CH2,DienTu,92340
763,20531,1321,1027,Trung,CH3,ThucPham,83003
764,20668,1338,1056,Nam,CH1,GiaDung,89052
765,20805,1355,1085,Bac,CH2,DienTu,96066
766,20942,1372,1114,Trung,CH3,ThucPham,86307
767,21079,1389,1143,Nam,CH1,GiaDung,92551
768,21216,1406,1172,Bac,CH2,DienTu,99791
769,21353,1423,1201,Trung,CH3,ThucPham,89612
770,21490,1440,1230,Nam,CH1,GiaDung,96049
771,21627,1457,1259,Bac,CH2,DienTu,103517
772,21764,1474,1288,Trung,CH3,ThucPham,92916
773,21901,1491,1317,Nam,CH1,GiaDung,99548
774,22038,1508,1346,Bac,CH2,DienTu,107242
775,22175,1525,1375,Trung,CH3,ThucPham,96220
776,22312,1542,1404,Nam,CH1,GiaDung,103047
777,22449,459,1433,Bac,CH2,DienTu,50247
778,22586,476,1462,Trung,CH3,ThucPham,45669
779,22723,493,1491,Nam,CH1,GiaDung,49521
780,22860,510,1520,Bac,CH2,DienTu,53973
781,22997,527,1549,Trung,CH3,ThucPham,48973
782,23134,544,1578,Nam,CH1,GiaDung,53020
783,23271,561,1607,Bac,CH2,DienTu,57698
784,23408,578,1636,Trung,CH3,ThucPham,52277
785,23545,595,1665,Nam,CH1,GiaDung,56519
786,23682,612,1694,Bac,CH2,DienTu,61424
787,23819,629,1723,Trung,CH3,ThucPham,55582
788,23956,646,1752,Nam,CH1,GiaDung,60018
789,24093,663,1781,Bac,CH2,DienTu,65149
790,24230,680,1810,Trung,CH3,ThucPham,58886
791,24367,697,1839,Nam,CH1,GiaDung,63516
792,24504,714,1868,Bac,CH2,DienTu,68875
793,24641,731,1897,Trung,CH3,ThucPham,62190
794,24778,748,1926,Nam,CH1,GiaDung,67015
795,24915,765,1955,Bac,CH2,DienTu,72600
796,25052,782,1984,Trung,CH3,ThucPham,65495
797,25189,799,2013,Nam,CH1,GiaDung,70514
798,25326,816,2042,Bac,CH2,DienTu,76326
799,25463,833,2071,Trung,CH3,ThucPham,68799
800,25600,850,2100,Nam,CH1,GiaDung,74012
801,25737,867,2129,Bac,CH2,DienTu,80051
802,25874,884,2158,Trung,CH3,ThucPham,72103
803,26011,901,2187,Nam,CH1,GiaDung,77511
804,26148,918,2216,Bac,CH2,DienTu,83777
805,26285,935,2245,Trung,CH3,ThucPham,75408
806,26422,952,2274,Nam,CH1,GiaDung,81010
807,26559,969,2303,Bac,CH2,DienTu,87502
808,26696,986,2332,Trung,CH3,ThucPham,78712
809,26833,1003,2361,Nam,CH1,GiaDung,84509
810,26970,1020,2390,Bac,CH2,DienTu,91228
811,27107,1037,2419,Trung,CH3,ThucPham,82017
812,27244,1054,2448,Nam,CH1,GiaDung,88007
813,27381,1071,2477,Bac,CH2,DienTu,94953
814,27518,1088,2506,Trung,CH3,ThucPham,85321
815,27655,1105,2535,Nam,CH1,GiaDung,91506
816,27792,1122,2564,Bac,CH2,DienTu,98679
817,27929,1139,2593,Trung,CH3,ThucPham,88625
818,28066,1156,2622,Nam,CH1,GiaDung,95005
819,28203,1173,2651,Bac,CH2,DienTu,102404
820,28340,1190,2680,Trung,CH3,ThucPham,91930
821,28477,1207,2709,Nam,CH1,GiaDung,98503
822,28614,1224,2738,Bac,CH2,DienTu,106130
823,28751,1241,2767,Trung,CH3,ThucPham,95234
824,28888,1258,2796,Nam,CH1,GiaDung,102002
825,29025,1275,2825,Bac,CH2,DienTu,109855
826,29162,1292,2854,Trung,CH3,ThucPham,98538
827,29299,1309,2883,Nam,CH1,GiaDung,105501
828,29436,1326,2912,Bac,CH2,DienTu,113581
829,29573,1343,2941,Trung,CH3,ThucPham,101843
830,29710,1360,2970,Nam,CH1,GiaDung,109000
831,29847,1377,2999,Bac,CH2,DienTu,117306
832,29984,1394,3028,Trung,CH3,ThucPham,105147
833,30121,1411,3057,Nam,CH1,GiaDung,112498
834,30258,1428,3086,Bac,CH2,DienTu,121032
835,30395,1445,915,Trung,CH3,ThucPham,93865
836,30532,1462,944,Nam,CH1,GiaDung,100553
837,30669,1479,973,Bac,CH2,DienTu,108312
838,30806,1496,1002,Trung,CH3,ThucPham,97170
839,30943,1513,1031,Nam,CH1,GiaDung,104052
840,31080,1530,1060,Bac,CH2,DienTu,112038
841,31217,1547,1089,Trung,CH3,ThucPham,100474
842,31354,464,1118,Nam,CH1,GiaDung,50526
843,31491,481,1147,Bac,CH2,DienTu,55043
844,31628,498,1176,Trung,CH3,ThucPham,49922
845,31765,515,1205,Nam,CH1,GiaDung,54025
846,31902,532,1234,Bac,CH2,DienTu,58769
847,32039,549,1263,Trung,CH3,ThucPham,53227
848,32176,566,1292,Nam,CH1,GiaDung,57524
849,32313,583,1321,Bac,CH2,DienTu,62494
850,32450,600,1350,Trung,CH3,ThucPham,56531
851,32587,617,1379,Nam,CH1,GiaDung,61023
852,32724,634,1408,Bac,CH2,DienTu,66220
853,32861,651,1437,Trung,CH3,ThucPham,59835
854,32998,668,1466,Nam,CH1,GiaDung,64521
855,33135,685,1495,Bac,CH2,DienTu,69945
856,33272,702,1524,Trung,CH3,ThucPham,63140
857,33409,719,1553,Nam,CH1,GiaDung,68020
858,33546,736,1582,Bac,CH2,DienTu,73670
859,33683,753,1611,Trung,CH3,ThucPham,66444
860,33820,770,1640,Nam,CH1,GiaDung,71519
861,33957,787,1669,Bac,CH2,DienTu,77396
862,34094,804,1698,Trung,CH3,ThucPham,69748
863,34231,821,1727,Nam,CH1,GiaDung,75017
864,34368,838,1756,Bac,CH2,DienTu,81121
865,34505,855,1785,Trung,CH3,ThucPham,73053
866,34642,872,1814,Nam,CH1,GiaDung,78516
867,34779,889,1843,Bac,CH2,DienTu,84847
868,34916,906,1872,Trung,CH3,ThucPham,76357
869,35053,923,1901,Nam,CH1,GiaDung,82015
870,35190,940,1930,Bac,CH2,DienTu,88572
871,35327,957,1959,Trung,CH3,ThucPham,79661
872,35464,974,1988,Nam,CH1,GiaDung,85514
873,35601,991,2017,Bac,CH2,DienTu,92298
874,35738,1008,2046,Trung,CH3,ThucPham,82966
875,35875,1025,2075,Nam,CH1,GiaDung,89012
876,36012,1042,2104,Bac,CH2,DienTu,96023
877,36149,1059,2133,Trung,CH3,ThucPham,86270
878,36286,1076,2162,Nam,CH1,GiaDung,92511
879,36423,1093,2191,Bac,CH2,DienTu,99749
880,36560,1110,2220,Trung,CH3,ThucPham,89574
881,36697,1127,2249,Nam,CH1,GiaDung,96010
882,36834,1144,2278,Bac,CH2,DienTu,103474
883,36971,1161,2307,Trung,CH3,ThucPham,92879
884,37108,1178,2336,Nam,CH1,GiaDung,99508
885,37245,1195,2365,Bac,CH2,DienTu,107200
886,37382,1212,2394,Trung,CH3,ThucPham,96183
887,37519,1229,2423,Nam,CH1,GiaDung,103007
888,37656,1246,2452,Bac,CH2,DienTu,110925
889,37793,1263,2481,Trung,CH3,ThucPham,99487
890,37930,1280,2510,Nam,CH1,GiaDung,106506
891,38067,1297,2539,Bac,CH2,DienTu,114651
892,38204,1314,2568,Trung,CH3,ThucPham,102792
893,38341,1331,2597,Nam,CH1,GiaDung,110005
894,38478,1348,2626,Bac,CH2,DienTu,118376
895,38615,1365,2655,Trung,CH3,ThucPham,106096
896,38752,1382,2684,Nam,CH1,GiaDung,113503
897,38889,1399,2713,Bac,CH2,DienTu,122102
898,39026,1416,2742,Trung,CH3,ThucPham,109400
899,39163,1433,2771,Nam,CH1,GiaDung,117002
900,39300,1450,2800,Bac,CH2,DienTu,125827
901,39437,1467,2829,Trung,CH3,ThucPham,112705
902,39574,1484,2858,Nam,CH1,GiaDung,120501
903,39711,1501,2887,Bac,CH2,DienTu,129553
904,39848,1518,2916,Trung,CH3,ThucPham,116009
905,39985,1535,2945,Nam,CH1,GiaDung,123999
906,40122,452,2974,Bac,CH2,DienTu,72558
907,40259,469,3003,Trung,CH3,ThucPham,65457
908,40396,486,3032,Nam,CH1,GiaDung,70474
909,40533,503,3061,Bac,CH2,DienTu,76284
910,40670,520,3090,Trung,CH3,ThucPham,68762
911,40807,537,919,Nam,CH1,GiaDung,58529
912,40944,554,948,Bac,CH2,DienTu,63564
913,41081,571,977,Trung,CH3,ThucPham,57480
914,41218,588,1006,Nam,CH1,GiaDung,62028
915,41355,605,1035,Bac,CH2,DienTu,67290
916,41492,622,1064,Trung,CH3,ThucPham,60784
917,41629,639,1093,Nam,CH1,GiaDung,65526
918,41766,656,1122,Bac,CH2,DienTu,71015
919,41903,673,1151,Trung,CH3,ThucPham,64089
920,42040,690,1180,Nam,CH1,GiaDung,69025
921,42177,707,1209,Bac,CH2,DienTu,74741
922,42314,724,1238,Trung,CH3,ThucPham,67393
923,42451,741,1267,Nam,CH1,GiaDung,72524
924,42588,758,1296,Bac,CH2,DienTu,78466
925,42725,775,1325,Trung,CH3,ThucPham,70697
926,42862,792,1354,Nam,CH1,GiaDung,76022
927,42999,809,1383,Bac,CH2,DienTu,82192
928,43136,826,1412,Trung,CH3,ThucPham,74002
929,43273,843,1441,Nam,CH1,GiaDung,79521
930,43410,860,1470,Bac,CH2,DienTu,85917
931,43547,877,1499,Trung,CH3,ThucPham,77306
932,43684,894,1528,Nam,CH1,GiaDung,83020
933,43821,911,1557,Bac,CH2,DienTu,89643
934,43958,928,1586,Trung,CH3,ThucPham,80610
935,44095,945,1615,Nam,CH1,GiaDung,86519
936,44232,962,1644,Bac,CH2,DienTu,93368
937,44369,979,1673,Trung,CH3,ThucPham,83915
938,44506,996,1702,Nam,CH1,GiaDung,90017
939,44643,1013,1731,Bac,CH2,DienTu,97094
940,44780,1030,1760,Trung,CH3,ThucPham,87219
941,44917,1047,1789,Nam,CH1,GiaDung,93516
942,45054,1064,1818,Bac,CH2,DienTu,100819
943,45191,1081,1847,Trung,CH3,ThucPham,90524
944,45328,1098,1876,Nam,CH1,GiaDung,97015
945,45465,1115,1905,Bac,CH2,DienTu,104544
946,45602,1132,1934,Trung,CH3,ThucPham,93828
947,45739,1149,1963,Nam,CH1,GiaDung,100513
948,45876,1166,1992,Bac,CH2,DienTu,108270
949,46013,1183,2021,Trung,CH3,ThucPham,97132
950,46150,1200,2050,Nam,CH1,GiaDung,104012
951,46287,1217,2079,Bac,CH2,DienTu,111995
952,46424,1234,2108,Trung,CH3,ThucPham,100437
953,46561,1251,2137,Nam,CH1,GiaDung,107511
954,46698,1268,2166,Bac,CH2,DienTu,115721
955,46835,1285,2195,Trung,CH3,ThucPham,103741
956,46972,1302,2224,Nam,CH1,GiaDung,111010
957,47109,1319,2253,Bac,CH2,DienTu,119446
958,47246,1336,2282,Trung,CH3,ThucPham,107045
959,47383,1353,2311,Nam,CH1,GiaDung,114508
960,47520,1370,2340,Bac,CH2,DienTu,123172
961,47657,1387,2369,Trung,CH3,ThucPham,110350
962,47794,1404,2398,Nam,CH1,GiaDung,118007
963,47931,1421,2427,Bac,CH2,DienTu,126897
964,48068,1438,2456,Trung,CH3,ThucPham,113654
965,48205,1455,2485,Nam,CH1,GiaDung,121506
966,48342,1472,2514,Bac,CH2,DienTu,130623
967,48479,1489,2543,Trung,CH3,ThucPham,116958
968,48616,1506,2572,Nam,CH1,GiaDung,125004
969,48753,1523,2601,Bac,CH2,DienTu,134348
970,48890,1540,2630,Trung,CH3,ThucPham,120263
971,49027,457,2659,Nam,CH1,GiaDung,71479
972,49164,474,2688,Bac,CH2,DienTu,77354
973,49301,491,2717,Trung,CH3,ThucPham,69711
974,49438,508,2746,Nam,CH1,GiaDung,74978
975,49575,525,2775,Bac,CH2,DienTu,81079
976,49712,542,2804,Trung,CH3,ThucPham,73015
977,49849,559,2833,Nam,CH1,GiaDung,78477
978,49986,576,2862,Bac,CH2,DienTu,84805
979,50123,593,2891,Trung,CH3,ThucPham,76320
980,50260,610,2920,Nam,CH1,GiaDung,81975
981,50397,627,2949,Bac,CH2,DienTu,88530
982,50534,644,2978,Trung,CH3,ThucPham,79624
983,50671,661,3007,Nam,CH1,GiaDung,85474
984,50808,678,3036,Bac,CH2,DienTu,92256
985,50945,695,3065,Trung,CH3,ThucPham,82928
986,51082,712,3094,Nam,CH1,GiaDung,88973
987,51219,729,923,Bac,CH2,DienTu,79536
988,51356,746,952,Trung,CH3,ThucPham,71647
989,51493,763,981,Nam,CH1,GiaDung,77027
990,51630,780,1010,Bac,CH2,DienTu,83262
991,51767,797,1039,Trung,CH3,ThucPham,74951
992,51904,814,1068,Nam,CH1,GiaDung,80526
993,52041,831,1097,Bac,CH2,DienTu,86987
994,52178,848,1126,Trung,CH3,ThucPham,78255
995,52315,865,1155,Nam,CH1,GiaDung,84025
996,52452,882,1184,Bac,CH2,DienTu,90713
997,52589,899,1213,Trung,CH3,ThucPham,81560
998,52726,916,1242,Nam,CH1,GiaDung,87524
999,52863,933,1271,Bac,CH2,DienTu,94438
1000,53000,950,1300,Trung,CH3,ThucPham,84864
1001,53137,967,1329,Nam,CH1,GiaDung,91022
1002,53274,984,1358,Bac,CH2,DienTu,98164
1003,53411,1001,1387,Trung,CH3,ThucPham,88168
1004,53548,1018,1416,Nam,CH1,GiaDung,94521
1005,53685,1035,1445,Bac,CH2,DienTu,101889
1006,53822,1052,1474,Trung,CH3,ThucPham,91473
1007,53959,1069,1503,Nam,CH1,GiaDung,98020
1008,54096,1086,1532,Bac,CH2,DienTu,105615
1009,54233,1103,1561,Trung,CH3,ThucPham,94777
1010,54370,1120,1590,Nam,CH1,GiaDung,101518
1011,54507,1137,1619,Bac,CH2,DienTu,109340
1012,54644,1154,1648,Trung,CH3,ThucPham,98081
1013,54781,1171,1677,Nam,CH1,GiaDung,105017
1014,54918,1188,1706,Bac,CH2,DienTu,113066
1015,55055,1205,1735,Trung,CH3,ThucPham,101386
1016,55192,1222,1764,Nam,CH1,GiaDung,108516
1017,55329,1239,1793,Bac,CH2,DienTu,116791
1018,55466,1256,1822,Trung,CH3,ThucPham,104690
1019,55603,1273,1851,Nam,CH1,GiaDung,112015
1020,55740,1290,1880,Bac,CH2,DienTu,120517
1021,55877,1307,1909,Trung,CH3,ThucPham,107994
1022,56014,1324,1938,Nam,CH1,GiaDung,115513
1023,56151,1341,1967,Bac,CH2,DienTu,124242
1024,56288,1358,1996,Trung,CH3,ThucPham,111299
1025,56425,1375,2025,Nam,CH1,GiaDung,119012
